year,January,February,March,April,May,June,July,August,September,October,November,December,Type,Population
2006,2931,2695,3042,3138,3345,3383,3527,3474,3348,3462,3168,3135,Fatal,299398484
2007,2732,2618,3092,3041,3312,3281,3460,3325,3235,3325,3066,2948,Fatal,301621157
2008,2575,2586,2549,2722,2887,3029,3018,3224,2860,3063,2829,2830,Fatal,304059724
2009,2377,2167,2349,2592,2780,2750,2787,2865,2650,2622,2512,2411,Fatal,307006550
2010,2101,1830,2213,2552,2704,2569,2852,2825,2799,2827,2587,2437,Fatal,309327143
2011,2088,1880,2220,2338,2578,2624,2910,2749,2633,2856,2494,2497,Fatal,311583481
2012,2283,2127,2487,2434,2672,2789,2833,2844,2735,2658,2602,2542,Fatal,313877662
2013,2230,1952,2356,2300,2532,2692,2660,2899,2741,2768,2615,2457,Fatal,316059947
2014,2168,1893,2245,2308,2596,2583,2696,2800,2618,2831,2714,2604,Fatal,318386329
2015,2371,1983,2401,2439,2869,2790,3021,3049,2904,3070,2780,2861,Fatal,320738994
2016,2354,2426,2694,2713,3005,3025,3025,3134,3154,3287,3041,2890,Fatal,323071755
2017,2625,2312,2689,2770,2915,3032,3237,2990,3108,3107,2903,2872,Fatal,325122128
2018,2631,2320,2615,2572,2977,3026,3056,3009,3064,3108,2791,2750,Fatal,326838199
2019,2476,2205,2544,2611,2917,2926,3037,3091,3093,2972,2841,2774,Fatal,328329953
2020,2485,2450,2369,2127,2865,3374,3483,3523,3426,3522,3168,2974,Fatal,329484123
2006,147436,133891,140562,142391,148030,144548,138235,142457,142256,165041,150059,151016,Injury,299398484
2007,136173,134597,142221,137741,148614,148120,141933,140750,138291,153732,144637,144495,Injury,301621157
2008,135726,141095,132145,134915,148460,137213,127895,130011,131247,137223,134368,140121,Injury,304059724
2009,132626,109225,128921,122714,139405,124743,131670,127292,122371,131126,116484,130497,Injury,307006550
2010,124049,111984,116145,119866,135397,130137,127735,141285,133896,144721,122653,134236,Injury,309327143
2011,128792,124331,119897,118979,130124,124572,118613,128800,129421,140653,131142,134643,Injury,311583481
2012,135730,123373,135869,120903,145303,137480,132018,141798,138689,147221,135812,139986,Injury,313877662
2013,113869,108691,126013,130749,136085,136404,133793,137460,131935,145528,151010,139479,Injury,316059947
2014,129948,122053,127331,132330,141117,134636,129001,147014,147449,155099,133030,148718,Injury,318386329
2015,140743,130424,141888,141133,142138,141482,148663,148962,141727,159505,137779,140951,Injury,320738994
2016,188192,176345,192515,181644,187919,180488,173535,195281,175487,174715,147918,142268,Injury,323071755
2017,150090,132043,165831,163444,170110,161182,153545,164534,155628,172528,149213,150378,Injury,325122128
2018,152614,136931,155167,146642,166957,155521,156797,168430,169119,169161,164671,151697,Injury,326838199
2019,150953,144103,159639,148462,168081,158777,155996,168510,167842,177666,166580,149735,Injury,328329953
2020,151435,144308,122680,77292,111468,134253,143377,143499,146065,157641,138342,123031,Injury,329484123
2006,356145,324574,335224,320758,352151,327784,313609,331285,346016,393549,400284,387264,Property_damage,299398484
2007,384771,361125,358010,329699,330635,335695,317107,341488,318696,385096,383758,429187,Property_damage,301621157
2008,372715,397402,345417,314610,327583,313665,298889,308521,302589,358747,372529,433587,Property_damage,304059724
2009,404279,317393,308388,292700,327553,309998,288665,308286,306236,354317,347170,392258,Property_damage,307006550
2010,339556,336364,311933,300726,312234,291729,274530,297306,298540,341581,345021,397524,Property_damage,309327143
2011,348841,318036,297981,284519,294830,286066,284507,301955,307732,339708,349655,364163,Property_damage,311583481
2012,333582,314344,303056,294791,327477,311418,301470,311746,324118,367977,371450,388430,Property_damage,313877662
2013,342798,331849,328900,307505,331728,305832,309210,323153,322878,379012,387868,394940,Property_damage,316059947
2014,450065,365468,365898,316521,339989,322971,329126,324752,341346,403247,430477,396643,Property_damage,318386329
2015,419296,383489,368893,337786,362913,342783,346704,341584,364551,422332,428596,429274,Property_damage,320738994
2016,461613,432119,406527,372625,387028,375706,353194,404425,365749,374666,359887,376535,Property_damage,323071755
2017,375508,332469,388764,355490,397796,358165,330905,369244,363461,417340,418371,422001,Property_damage,325122128
2018,428622,377468,400136,371310,411536,375208,358936,385545,380343,440424,454198,423330,Property_damage,326838199
2019,425779,385214,384228,380910,402028,377807,373134,382644,366426,452109,440936,435039,Property_damage,328329953
2020,399018,373463,281929,172002,245900,269907,284106,303764,297793,363617,324068,306113,Property_damage,329484123